month,date,hour,peak_flat_valley,power_num,price
8,20,1,1,18588.055,4581.956
8,20,2,1,18027.653,4443.816
8,20,3,1,17237.935,4249.151
8,20,4,1,17468.148,4305.899
8,20,5,1,17206.29,4241.35
8,20,6,1,17988.597,4434.189
8,20,7,1,17987.974,4434.036
8,20,8,1,18069.151,4454.046
8,20,9,2,17330.006,9389.397
8,20,10,2,16031.758,8686.006
8,20,11,2,15497.257,8396.414
8,20,12,2,15884.704,8606.333
8,20,13,2,15730.954,8523.031
8,20,14,2,15408.32,8348.228
8,20,15,3,15545.835,13405.173
8,20,16,3,15550.47,13409.17
8,20,17,3,17017.382,14674.088
8,20,18,2,18075.314,9793.205
8,20,19,2,19306.346,10460.178
8,20,20,3,19261.362,16609.073
8,20,21,3,19247.313,16596.958
8,20,22,3,19914.951,17172.662
8,20,23,2,20141.756,10912.804
8,20,24,2,20019.885,10846.773
